TIPO;PAIS;REGION;CIUDAD;CATEGORIA;NOMBRE;XML URL;HTML URL
 Medios;Argentina ;Buenos Aires;Quilmes;Deportes;Deportes en Quilmes;http://www.deportesenquilmes.com.ar/spip.php?page=backend;www.deportesenquilmes.com.ar
 Medios;Argentina ;Buenos Aires;Necochea;No Categorizado;BA - NECOCHEA - Ecos Diarios;http://www.ecosdiariosweb.com.ar/index.php?format=feed&type=rss;www.ecosdiariosweb.com.ar
 Medios;Argentina ;Buenos Aires;Necochea;No Categorizado;Necochea News;http://necocheanews.com.ar/feed/;www.necocheanews.com.ar
 Medios;Argentina ;Buenos Aires;Olavarr°a;No Categorizado;Diario El Popular;http://www.elpopular.com.ar/hoy/rss/;www.elpopular.com.ar
 Medios;Argentina ;Buenos Aires;Pergamino;No Categorizado;La Opinion;http://www.laopinion-pergamino.com.ar/rss.asp;www.laopinion-pergamino.com.ar
 Medios;Argentina ;Buenos Aires;Quilmes;No Categorizado;LA VOZ;http://www.lavoz.org.ar/spip.php?page=backend;www.lavoz.org.ar
 Medios;Argentina ;Buenos Aires;Rojas;No Categorizado;EL NUEVO ROJENSE;http://www.elnuevorojense.com.ar/index.php?format=feed&type=rss;www.elnuevorojense.com.ar
 Medios;Argentina ;Buenos Aires;Saladillo;No Categorizado;ABC;http://www.abcsaladillo.com.ar/index.php?format=feed&type=rss;www.abcsaladillo.com.ar
 Medios;Argentina ;Buenos Aires;San Mart°n;No Categorizado;Actualidad Sanmartinense;http://actualidadsanmartinenseonline.blogspot.com/feeds/posts/default;www.actualidadsanmartinenseonline.blogspot.com
 Medios;Argentina ;Buenos Aires;San Mart°n;No Categorizado;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=17;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;San Mart°n;No Categorizado;Semanario Con-Textos;http://www.con-textos.com.ar/backend.php;www.con-textos.com.ar
 Medios;Argentina ;Buenos Aires;San Mart°n;No Categorizado;SMnoticias;http://www.smnoticias.info/feed.php?output_type=rss;www.smnoticias.info
 Medios;Argentina ;Buenos Aires;Trenque Lauquen;Deportes;DEPORTE LAUQUEN;http://www.deportelauquen.com.ar/joomla/index.php?format=feed&type=rss;www.deportelauquen.com.ar
 Medios;Argentina ;Buenos Aires;San Mart°n;No Categorizado;Teleaire Multimedia;http://www.teleaire.com/?feed=rss2;www.teleaire.com
 Medios;Argentina ;Buenos Aires;San Miguel;No Categorizado;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=32;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Deportes;Cancha Llena;http://www.canchallena.com/herramientas/rss;www.canchallena.com
 Medios;Argentina ;Buenos Aires;San Pedro;No Categorizado;LA OPINION SEMANRIO;http://www.laopinionsemanario.com.ar/rss.xml;www.laopinionsemanario.com.ar
 Medios;Argentina ;Buenos Aires;San Pedro;No Categorizado;San Pedro Informa;http://www.sanpedroinforma.com.ar/index2.php?option=com_rss&feed=ATOM0.3&no_html=1;www.sanpedroinforma.com.ar
 Medios;Argentina ;Buenos Aires;Tigre;No Categorizado;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=34;www.infoban.com.ar
